Date,Close,High,Low,Open,Volume
2020-06-01,84.0875473022461,84.09595059740036,84.0875473022461,84.09595059740036,1600
2020-06-02,84.090087890625,84.09597019860405,84.090087890625,84.09597019860405,4000
2020-06-03,84.09175872802734,84.09175872802734,84.09175872802734,84.09175872802734,100
2020-06-04,84.09175872802734,84.09680712043605,84.07914736910037,84.07914736910037,2400
2020-06-05,84.0875473022461,84.09595059740036,84.0875473022461,84.09595059740036,400
2020-06-08,84.0875473022461,84.0875473022461,84.0875473022461,84.0875473022461,100
2020-06-09,84.0875473022461,84.0875473022461,84.0875473022461,84.0875473022461,100
2020-06-10,84.09175872802734,84.09596037609305,84.09175872802734,84.09596037609305,12300
2020-06-11,84.09175872802734,84.10437008695432,84.09175872802734,84.09596037609305,7587100
2020-06-12,84.09175872802734,84.09596037609305,84.08755707996164,84.08755707996164,4900
2020-06-15,84.09175872802734,84.09596037609305,84.09175872802734,84.09596037609305,8500
2020-06-16,84.09175872802734,84.09175872802734,84.09175872802734,84.09175872802734,100
2020-06-17,84.09593963623047,84.10434934501772,84.09173798920098,84.10434934501772,4600
2020-06-18,84.0993423461914,84.10438432472378,84.09597461243887,84.10438432472378,19600
2020-06-19,84.10015106201172,84.10351237976977,84.09594300008563,84.10015106201172,5600
2020-06-22,84.09593963623047,84.10434934501772,84.0875363421715,84.10434934501772,22500
2020-06-23,84.09593963623047,84.10434934501772,84.09593963623047,84.10434934501772,1500
2020-06-24,84.09593963623047,84.10434934501772,84.0875363421715,84.0875363421715,17100
2020-06-25,84.09593963623047,84.09593963623047,84.0875363421715,84.09593963623047,10700
2020-06-26,84.09175872802734,84.10437008695432,84.08755707996164,84.10437008695432,51200
2020-06-29,84.10015106201172,84.10015106201172,84.09594300008563,84.10015106201172,3700
2020-06-30,84.10015106201172,84.10015106201172,84.10015106201172,84.10015106201172,700
2020-07-01,84.09680938720703,84.10101128762912,84.09680938720703,84.10101128762912,15100
2020-07-02,84.10184478759766,84.10940820716175,84.10099799253196,84.10099799253196,5300
2020-07-06,84.09680938720703,84.10101128762912,84.09680938720703,84.09680938720703,2400
2020-07-07,84.09680938720703,84.10101128762912,84.09344786686937,84.09344786686937,3900
2020-07-08,84.09680938720703,84.10942150358845,84.09680938720703,84.10101128762912,18700
2020-07-09,84.10519409179688,84.1093959909444,84.10519409179688,84.1093959909444,400
2020-07-10,84.10858154296875,84.10942192305735,84.10522002261432,84.10942192305735,26400
2020-07-13,84.10519409179688,84.1093959909444,84.10519409179688,84.1093959909444,1000
2020-07-14,84.10098266601562,84.10939287911275,84.09257886803147,84.10098266601562,6500
2020-07-15,84.10098266601562,84.10939287911275,84.09762114682196,84.10939287911275,9100
2020-07-16,84.10098266601562,84.10939287911275,84.09257886803147,84.10939287911275,14700
2020-07-17,84.10098266601562,84.10939287911275,84.10098266601562,84.10939287911275,18300
2020-07-20,84.10098266601562,84.10939287911275,84.10098266601562,84.10939287911275,1200
2020-07-21,84.10098266601562,84.10939287911275,84.09257886803147,84.10939287911275,157200
2020-07-22,84.10098266601562,84.10939287911275,84.09257886803147,84.10939287911275,9000
2020-07-23,84.10098266601562,84.10939287911275,84.09257886803147,84.10098266601562,10600
2020-07-24,84.10098266601562,84.10939287911275,84.10098266601562,84.10098266601562,1400
2020-07-27,84.10098266601562,84.10939287911275,84.10098266601562,84.10939287911275,23900
2020-07-28,84.10098266601562,84.10939287911275,84.09257886803147,84.10939287911275,16000
2020-07-29,84.10519409179688,84.1093959909444,84.10098577753612,84.1093959909444,1600
2020-07-30,84.10098266601562,84.11780309220987,84.09257886803147,84.10939287911275,17000
2020-07-31,84.10519409179688,84.1093959909444,84.10519409179688,84.1093959909444,1400
2020-08-03,84.1060562133789,84.1060562133789,84.1060562133789,84.1060562133789,300
2020-08-04,84.1060562133789,84.11025857581903,84.10185385093878,84.11025857581903,1400
2020-08-05,84.1060562133789,84.11025857581903,84.10185385093878,84.10185385093878,12800
2020-08-06,84.1060562133789,84.11025857581903,84.10185385093878,84.10185385093878,21500
2020-08-07,84.11024475097656,84.11865589029483,84.11024475097656,84.11024475097656,10000
2020-08-10,84.1060562133789,84.11025857581903,84.09344271023801,84.11025857581903,25600
2020-08-11,84.1060562133789,84.11025857581903,84.1060562133789,84.11025857581903,20600
2020-08-12,84.11024475097656,84.11865589029483,84.10184002747776,84.10184002747776,291300
2020-08-13,84.11024475097656,84.11024475097656,84.1085638062768,84.1085638062768,600
2020-08-14,84.11444854736328,84.11865090886383,84.11444854736328,84.11865090886383,28700
