Date,Close,High,Low,Open,Volume
1999-03-10,80.08867645263672,80.127422788608,79.21688389328291,79.64309358896699,3950000
1999-03-11,80.9798812866211,81.32859847876443,79.89498335550847,80.39868596638219,6583700
1999-03-12,80.2049560546875,81.23173447760983,80.10809016573256,81.21236129981884,5286500
1999-03-15,81.34796142578125,81.36733460068618,80.28243680601037,80.55366125467931,5394400
1999-03-16,81.03802490234375,81.6192203953082,80.88303943755324,81.28987628262836,4547500
1999-03-17,80.68927001953125,81.17359937138917,80.35992606026785,81.01861397879463,4524100
1999-03-18,81.98729705810547,82.06478977744206,80.4374426713738,80.45681585120795,3506300
1999-03-19,80.59368133544922,82.41917676810759,80.59368133544922,82.22497512633542,5526700
1999-03-22,80.74903869628906,81.1568621240481,80.42860600304982,80.82671934919556,4603800
1999-03-23,78.41864013671875,80.49659815916276,78.11762752599088,80.36065698012436,9713800
1999-03-24,78.86528778076172,79.03035917848062,78.06906103882346,78.82644745188668,6280900
1999-03-25,80.47714233398438,80.47714233398438,79.38961338352513,79.58381498182142,6639600
1999-03-26,79.8945541381836,80.24411708774298,79.37020971384452,79.93339446591241,6159700
1999-03-29,81.50643920898438,81.68122070836033,80.2635485467554,80.2635485467554,5863900
1999-03-30,81.07917022705078,81.545254079853,80.51598557158145,80.74902749798255,5401400
1999-03-31,79.77800750732422,81.78799382110418,79.73916719208209,81.50640153559877,7413600
1999-04-01,80.38007354736328,80.59369539056719,79.62268701236759,80.59369539056719,7683600
1999-04-05,82.2832260131836,82.39974698464432,80.94323484138523,81.3704784034079,5791100
1999-04-06,82.08904266357422,82.64251740119235,81.50643767660775,82.14730316227086,5381300
1999-04-07,82.74933624267578,82.88527741932417,81.64238666139616,82.45803372128641,6248600
1999-04-08,83.79800415039062,83.85626463995057,82.2055507690854,82.76873550149823,5909100
1999-04-09,83.81742858886719,84.20583187241152,83.0212018576013,83.54554629038616,4365800
1999-04-12,84.71073150634766,84.76899198193661,82.78813581191197,82.9434970801492,8213200
1999-04-13,84.1669921875,84.80785761024745,83.58438725772957,84.67191645996769,10071400
1999-04-14,82.74933624267578,84.55541187528993,82.45803372128641,84.55541187528993,11551700
1999-04-15,82.43855285644531,83.00173731647757,81.4092847053519,82.92405670130071,11150000
1999-04-16,81.73944854736328,82.59393553621668,81.52582680014993,82.59393553621668,6476200
1999-04-19,80.47714233398438,83.60378806655471,79.77801658011771,82.45799863660658,12487200
1999-04-20,81.4870376586914,81.52587800075942,80.16646602837896,80.67139047526312,9049600
1999-04-21,83.81742858886719,84.28351252912039,81.0403451115252,81.44816855924675,5772200
1999-04-22,84.6136703491211,84.74961152250734,83.51643087821788,83.9728048174431,6897400
1999-04-23,84.4000244140625,84.98262927656178,83.89510019989645,84.43886473822911,4593100
1999-04-26,84.885498046875,85.0214391327428,84.18637246241207,84.8272375815031,3606500
1999-04-27,85.29337310791016,85.44873444326154,84.41946559655862,85.21569244023448,5147200
1999-04-28,84.12812805175781,85.29333758156055,83.89508614579726,84.78841345197937,5544300
1999-04-29,83.48725128173828,84.55535986989729,83.1571086272164,84.24463737152375,9824300
1999-04-30,82.8075942993164,84.28352703073011,81.72006491827472,83.95338418291388,10991900
1999-05-03,84.32233428955078,84.4194350890551,82.71046101777908,82.92408277668859,10709700
1999-05-04,83.11830139160156,84.40003220745336,82.72989811407072,83.97278860216943,10509300
1999-05-05,83.77862548828125,83.93398687073518,81.93370907164085,83.23486064969251,10032300
1999-05-06,83.26396942138672,83.97280554590698,82.26383077994032,83.54556185441531,13507200
1999-05-07,83.89511108398438,83.97279174239547,82.92410285384567,83.58438845033999,8680700
1999-05-10,83.47758483886719,84.34178223919976,82.98237059822716,83.79801758281073,5580100
1999-05-11,84.32233428955078,85.0603003657836,83.720309332624,84.08929237074042,7000600
1999-05-12,84.98260498046875,85.27390732843654,81.72001868322954,84.3611599714708,13865800
1999-05-13,85.35161590576172,85.75943932647185,85.02147313661543,85.29335541708885,4485700
1999-05-14,83.1377182006836,84.43886912790755,82.96293673284754,83.62322227800597,8370100
1999-05-17,83.39016723632812,83.57465875676249,82.26379795367629,83.04060435550514,6268100
1999-05-18,83.23480987548828,83.88538526765554,82.4191631151592,83.60379293373241,8218600
1999-05-19,83.83683776855469,83.89509825345291,82.80756920201927,83.56495550569628,5052400
1999-05-20,83.3319320678711,84.26410003320734,83.3125119019266,83.97279754403976,4670400
1999-05-21,82.86582946777344,83.70089641577303,82.39974558982018,83.35133350730808,6418200
1999-05-24,81.4870376586914,83.17659253864997,81.03066363939224,83.17659253864997,7952000
1999-05-25,80.16645812988281,82.24441622578821,79.81689508571182,81.64239098304927,15406400
1999-05-26,81.05978393554688,81.40934697120568,79.60327128696854,80.36065786422927,12575900
1999-05-27,79.8945541381836,80.96266315072616,79.54499118862421,80.69078085662441,14515400
1999-05-28,80.91410827636719,81.25396112524189,79.91396989253595,80.16643200884286,8748000
1999-06-01,80.63249969482422,80.88496176034269,79.7780127038386,80.86554160145666,6705300
1999-06-02,80.71018981933594,80.90439143102829,79.55469022976652,80.632509174659,6981900
1999-06-03,81.1568832397461,81.33166475426098,80.65195886448086,81.2151437445844,6076600
1999-06-04,82.78814697265625,82.87553769782092,81.37047520887396,81.7006179483849,9787200
